state,county,Biden,Trump
Florida,Indian River,"37,844","58,872"
Florida,Jackson,"6,766","15,488"
Florida,Jefferson,"3,897","4,479"
Florida,Lafayette,510,"3,128"
Florida,Lake,"83,505","125,859"
Florida,Lee,"157,695","233,247"
Florida,Leon,"103,517","57,453"
Florida,Levy,"6,205","16,749"
Florida,Liberty,694,"2,846"
Florida,Madison,"3,747","5,576"
Florida,Manatee,"90,166","124,987"
Florida,Marion,"74,858","127,826"
Florida,Martin,"36,893","61,168"
Florida,Monroe,"21,881","25,693"
Florida,Nassau,"15,564","42,566"
Florida,Okaloosa,"34,248","79,798"
Florida,Okeechobee,"4,390","11,470"
Florida,Orange,"395,014","245,398"
Florida,Osceola,"97,297","73,480"
Florida,Palm Beach,"433,572","334,711"
Florida,Pasco,"119,073","179,621"
Florida,Pinellas,"277,450","276,209"
Florida,Polk,"145,049","194,586"
Florida,Putnam,"10,527","25,514"
Florida,St. Johns,"63,850","110,946"
Florida,St. Lucie,"84,137","86,831"
Florida,Santa Rosa,"27,612","77,385"
Florida,Sarasota,"120,110","148,370"
Florida,Seminole,"132,528","125,241"
Florida,Sumter,"29,341","62,761"
Florida,Suwannee,"4,485","16,410"
Florida,Taylor,"2,299","7,751"
Florida,Union,"1,053","5,133"
Florida,Volusia,"130,575","173,821"
Florida,Wakulla,"5,351","12,874"
Florida,Walton,"10,338","32,947"
Florida,Washington,"2,347","9,876"
Georgia,Appling,"1,784","6,570"
Georgia,Atkinson,825,"2,300"
Georgia,Bacon,625,"4,017"
Georgia,Baker,652,897
Georgia,Baldwin,"9,140","8,903"
Georgia,Banks,932,"7,795"
Georgia,Barrow,"10,453","26,804"
Georgia,Bartow,"12,091","37,672"
Georgia,Ben Hill,"2,393","4,111"
Georgia,Berrien,"1,269","6,419"
Georgia,Bibb,"43,408","26,559"
Georgia,Bleckley,"1,312","4,329"
Georgia,Brantley,700,"6,993"
Georgia,Brooks,"2,791","4,261"
Georgia,Bryan,"6,738","14,240"
Georgia,Bulloch,"11,248","18,387"
Georgia,Burke,"5,208","5,400"
Georgia,Butts,"3,274","8,406"
Georgia,Calhoun,"1,263",923
Georgia,Camden,"7,967","15,249"
Georgia,Candler,"1,269","3,133"
Georgia,Carroll,"16,236","37,476"
Georgia,Catoosa,"6,932","25,167"
Georgia,Charlton,"1,105","3,419"
Georgia,Chatham,"78,247","53,232"
Georgia,Chattahoochee,667,880
Georgia,Chattooga,"1,854","8,064"
Georgia,Cherokee,"42,779","99,585"
Georgia,Clarke,"36,055","14,450"
Georgia,Clay,791,637
Georgia,Clayton,"95,466","15,811"
Georgia,Clinch,744,"2,105"
Georgia,Cobb,"221,847","165,436"
Georgia,Coffee,"4,520","10,597"
Georgia,Colquitt,"4,190","11,777"
Georgia,Columbia,"29,232","50,013"
Georgia,Cook,"2,059","4,900"
Georgia,Coweta,"24,210","51,501"
Georgia,Crawford,"1,615","4,428"
Georgia,Crisp,"2,982","4,985"
Georgia,Dade,"1,261","6,066"
Georgia,Dawson,"2,486","13,398"
Georgia,Decatur,"4,782","6,755"
Georgia,DeKalb,"308,162","58,377"
Georgia,Dodge,"2,172","5,843"
Georgia,Dooly,"1,911","2,159"
Georgia,Dougherty,"24,568","10,441"
Georgia,Douglas,"42,814","25,454"
Georgia,Early,"2,450","2,710"
Georgia,Echols,167,"1,256"
Georgia,Effingham,"7,718","23,361"
Georgia,Elbert,"2,879","6,226"
Georgia,Emanuel,"2,886","6,553"
Georgia,Evans,"1,324","2,888"
Georgia,Fannin,"2,570","12,169"
Georgia,Fayette,"33,062","37,956"
Georgia,Floyd,"11,917","28,906"
Georgia,Forsyth,"42,208","85,123"
Georgia,Franklin,"1,593","9,069"
Georgia,Fulton,"380,212","137,247"
Georgia,Gilmer,"2,932","13,429"
Georgia,Glascock,155,"1,402"
Georgia,Glynn,"15,882","25,617"
Georgia,Gordon,"4,384","19,405"
Georgia,Grady,"3,619","7,034"
Georgia,Greene,"4,087","7,066"
Georgia,Gwinnett,"241,994","166,400"
Georgia,Habersham,"3,562","16,637"
Georgia,Hall,"25,033","64,183"
Georgia,Hancock,"2,976","1,154"
Georgia,Haralson,"1,791","12,330"
Georgia,Harris,"5,457","14,319"
Georgia,Hart,"3,157","9,465"
Georgia,Heard,824,"4,519"
Georgia,Henry,"73,443","48,259"
Georgia,Houston,"32,239","41,540"
Georgia,Irwin,"1,008","3,134"
Georgia,Jackson,"7,642","29,502"
Georgia,Jasper,"1,761","5,822"
Georgia,Jeff Davis,"1,028","4,695"
Georgia,Jefferson,"4,058","3,537"
Georgia,Jenkins,"1,266","2,161"
Georgia,Johnson,"1,222","2,850"
Georgia,Jones,"4,882","9,940"
Georgia,Lamar,"2,620","6,331"
Georgia,Lanier,"1,019","2,509"
Georgia,Laurens,"8,074","14,493"
Georgia,Lee,"4,558","12,007"
Georgia,Liberty,"13,104","7,959"
Georgia,Lincoln,"1,432","3,173"
Georgia,Long,"2,035","3,527"
Georgia,Lowndes,"20,116","25,692"
Georgia,Lumpkin,"3,126","12,163"
Georgia,McDuffie,"4,168","6,169"
Georgia,McIntosh,"2,612","4,016"
Georgia,Macon,"2,858","1,783"
Georgia,Madison,"3,411","11,326"
Georgia,Marion,"1,312","2,275"
Georgia,Meriwether,"4,287","6,524"
Georgia,Miller,748,"2,066"
Georgia,Mitchell,"3,993","4,935"
Georgia,Monroe,"4,385","11,057"
Georgia,Montgomery,980,"2,960"
Georgia,Morgan,"3,353","8,231"
Georgia,Murray,"2,301","12,944"
Georgia,Muscogee,"49,446","30,107"
Georgia,Newton,"29,789","23,869"
Georgia,Oconee,"8,162","16,595"
Georgia,Oglethorpe,"2,439","5,592"
Georgia,Paulding,"29,695","54,517"
Georgia,Peach,"5,922","6,506"
Georgia,Pickens,"2,824","14,110"
Georgia,Pierce,"1,100","7,898"
Georgia,Pike,"1,505","9,127"
Georgia,Polk,"3,657","13,587"
Georgia,Pulaski,"1,230","2,815"
Georgia,Putnam,"3,448","8,291"
Georgia,Quitman,497,604
Georgia,Rabun,"1,984","7,474"
Georgia,Randolph,"1,671","1,390"
Georgia,Richmond,"59,119","26,780"
Georgia,Rockdale,"31,237","13,014"
Georgia,Schley,462,"1,800"
Georgia,Screven,"2,661","3,915"
Georgia,Seminole,"1,256","2,613"
Georgia,Spalding,"11,828","18,104"
Georgia,Stephens,"2,386","9,367"
Georgia,Stewart,"1,182",801
Georgia,Sumter,"6,314","5,733"
Georgia,Talbot,"2,114","1,392"
Georgia,Taliaferro,561,360
Georgia,Tattnall,"2,062","6,054"
Georgia,Taylor,"1,388","2,420"
Georgia,Telfair,"1,488","2,825"
Georgia,Terrell,"2,376","2,004"
Georgia,Thomas,"8,708","12,969"
Georgia,Tift,"5,318","10,784"
Georgia,Toombs,"2,938","7,873"
Georgia,Towns,"1,550","6,384"
Georgia,Treutlen,952,"2,101"
Georgia,Troup,"11,577","18,142"
Georgia,Turner,"1,409","2,349"
